,Full Name,Prefix,Core,Suffix,Compound Number,Page
0,"2-amino-3-(benzo[d][1,3]dioxol-5-yl)propanoic acid hydrochloride (1)",2,amino,propanoic acid hydrochloride ,1,7
1,"(S)-2-amino-3-(4-(cyclopentylmethoxy)phenyl)propanoic acid hydrochloride 
(3)",(S)-2,amino,"propanoic acid hydrochloride 
",3,8
2,(S)-2-amino-3-(4-(but-2-yn-1-yloxy)phenyl)propanoic acid hydrochloride (4),(S)-2,amino,propanoic acid hydrochloride ,4,8
3,(S)-2-amino-3-(4-(2-azidoethoxy)phenyl)propanoic acid hydrochloride (2),(S)-2,amino,propanoic acid hydrochloride ,2,9
4,2-acetamido-3-(3-ethoxyphenyl)propanoate (28),2,acetamido,propanoate ,28,9
5,2-acetamido-3-(3-propoxyphenyl)propanoate (29),2,acetamido,propanoate ,29,10
6,2-acetamido-3-(3-butoxyphenyl)propanoate (30),2,acetamido,propanoate ,30,10
7,2-acetamido-3-(3-(pentyloxy)phenyl)propanoate (31),2,acetamido,propanoate ,31,10
8,2-acetamido-3-(3-(hexyloxy)phenyl)propanoate (32),2,acetamido,propanoate ,32,10
9,2-amino-3-(3-ethoxyphenyl)propanoic acid hydrochloride (6),2,amino,propanoic acid hydrochloride ,6,11
10,2-amino-3-(3-propoxyphenyl)propanoic acid hydrochloride (7),2,amino,propanoic acid hydrochloride ,7,11
11,2-amino-3-(3-butoxyphenyl)propanoic acid hydrochloride (8),2,amino,propanoic acid hydrochloride ,8,11
12,2-amino-3-(3-(pentylox y)phenyl)propanoic acid hydrochloride (9),2,amino,propanoic acid hydrochloride ,9,11
13,2-amino-3-(3-(hexyloxy)phenyl)propanoic acid hydrochloride (10),2,amino,propanoic acid hydrochloride ,10,11
14,2-acetamido-2-(3-propionylbenzyl)malonate (38),2,acetamido,malonate ,38,13
15,2-acetamido-2-(3-butyrylbenzyl)malonate (39),2,acetamido,malonate ,39,13
16,2-acetamido-2-(3-pentanoylbenzyl)malonate (40),2,acetamido,malonate ,40,13
17,2-acetamido-2-(3-hexanoylbenzyl)malonate (41),2,acetamido,malonate ,41,14
18,2-amino-3-(3-propionylphenyl)propanoic acid hydrochloride (12),2,amino,propanoic acid hydrochloride ,12,14
19,2-amino-3-(3-butyrylphenyl)propanoic acid hydrochloride (13),2,amino,propanoic acid hydrochloride ,13,14
20,2-amino-3-(3-pentanoylphenyl)propanoic acid hydrochloride (14),2,amino,propanoic acid hydrochloride ,14,14
21,2-amino-3-(3-hexanoylphenyl)propanoic acid hydrochloride (15),2,amino,propanoic acid hydrochloride ,15,15
22,"2-amino-3-(benzo[d][1,3]dioxol-5-yl)propanoic acid hydrochloride (1)",2,amino,propanoic acid hydrochloride ,1,64
23,"(S)-2-amino-3-(4-(cyclopentylmethoxy)phenyl)propanoic acid hydrochloride 
(3)",(S)-2,amino,"propanoic acid hydrochloride 
",3,65
24,(S)-2-amino-3-(4-(but-2-yn-1-yloxy)phenyl)propanoic acid hydrochloride (4),(S)-2,amino,propanoic acid hydrochloride ,4,65
25,(S)-2-amino-3-(4-(2-azidoethoxy)phenyl)propanoic acid hydrochloride (2),(S)-2,amino,propanoic acid hydrochloride ,2,66
26,2-acetamido-3-(3-ethoxyphenyl)propanoate (28),2,acetamido,propanoate ,28,66
27,2-acetamido-3-(3-propoxyphenyl)propanoate (29),2,acetamido,propanoate ,29,67
28,2-acetamido-3-(3-butoxyphenyl)propanoate (30),2,acetamido,propanoate ,30,67
29,2-acetamido-3-(3-(pentyloxy)phenyl)propanoate (31),2,acetamido,propanoate ,31,67
30,2-acetamido-3-(3-(hexyloxy)phenyl)propanoate (32),2,acetamido,propanoate ,32,67
31,2-amino-3-(3-ethoxyphenyl)propanoic acid hydrochloride (6),2,amino,propanoic acid hydrochloride ,6,68
32,2-amino-3-(3-propoxyphenyl)propanoic acid hydrochloride (7),2,amino,propanoic acid hydrochloride ,7,68
33,2-amino-3-(3-butoxyphenyl)propanoic acid hydrochloride (8),2,amino,propanoic acid hydrochloride ,8,68
34,2-amino-3-(3-(pentylox y)phenyl)propanoic acid hydrochloride (9),2,amino,propanoic acid hydrochloride ,9,68
35,2-amino-3-(3-(hexyloxy)phenyl)propanoic acid hydrochloride (10),2,amino,propanoic acid hydrochloride ,10,68
36,2-acetamido-2-(3-propionylbenzyl)malonate (38),2,acetamido,malonate ,38,70
37,2-acetamido-2-(3-butyrylbenzyl)malonate (39),2,acetamido,malonate ,39,70
38,2-acetamido-2-(3-pentanoylbenzyl)malonate (40),2,acetamido,malonate ,40,70
39,2-acetamido-2-(3-hexanoylbenzyl)malonate (41),2,acetamido,malonate ,41,71
40,2-amino-3-(3-propionylphenyl)propanoic acid hydrochloride (12),2,amino,propanoic acid hydrochloride ,12,71
41,2-amino-3-(3-butyrylphenyl)propanoic acid hydrochloride (13),2,amino,propanoic acid hydrochloride ,13,71
42,2-amino-3-(3-pentanoylphenyl)propanoic acid hydrochloride (14),2,amino,propanoic acid hydrochloride ,14,71
43,2-amino-3-(3-hexanoylphenyl)propanoic acid hydrochloride (15),2,amino,propanoic acid hydrochloride ,15,72
